linea,sku,denominacion,fecha_ini_plan,fecha_fin_plan,start_ts_plan,turno_plan,cntd_jda,cntd_plan,secuencia_plan,of_actual,fecha_fin_actual,uds_actual,hl_actual,oee,disp,rend,calid,inef,estado_join
14,ED13LMCM,,,,,,,,,PRT9900017390-M,2026-05-18,0.0,0.0,,0.0,,,0.0,only_actual
14,ED13LMCM,,,,,,,,,PRT9900017387-M,2026-05-18,184156.0,607.72,0.36072477962781585,0.49471106758080313,0.729162542070877,1.0,0.13398628795298725,only_actual
17,XI13LTN,XIBECA 1/3 LATA LC,2026-05-18,2026-05-18,2026-05-18 08:00:00,T,12327,12327,,PRT9900017407-M,2026-05-18,269065.0,887.91,0.6767702175826941,0.7263237328637907,0.9317748917748918,1.0,0.049553515281096715,matched
17,XI13P24M,XIBECA 1/3 LATA PACK CARTON 24U. MP,2026-05-18,2026-05-18,2026-05-18 06:00:00,T,5000,4420,99.0,PRT9900017406-M,2026-05-18,121793.0,401.92,0.7096445221445222,0.761509324009324,0.931892098718194,1.0,0.051864801864801864,matched
17,XI13LTN,XIBECA 1/3 LATA LC,2026-05-18,2026-05-18,2026-05-18 14:00:00,N,8273,8273,,PRT9900017407-M,2026-05-18,269065.0,887.91,0.6767702175826941,0.7263237328637907,0.9317748917748918,1.0,0.049553515281096715,matched
17,XI13LTN,XIBECA 1/3 LATA LC,2026-05-18,2026-05-18,2026-05-18 08:00:00,T,12327,12327,,0000793865-1,2026-05-18,230754.0,761.49,0.5712340636217353,0.6070058175516772,0.941068515497553,1.0,0.03577175392994182,matched
17,XI13LTN,XIBECA 1/3 LATA LC,2026-05-18,2026-05-18,2026-05-18 14:00:00,N,8273,8273,,0000793865-1,2026-05-18,230754.0,761.49,0.5712340636217353,0.6070058175516772,0.941068515497553,1.0,0.03577175392994182,matched
17,FD13LTNN,FREE DAMM 33CL LATA LC,2026-05-18,2026-05-18,2026-05-18 16:00:00,N,10647,10647,,0000780318-1,2026-05-18,105927.0,349.56,0.5370088719898606,0.5631178707224335,0.9536349313526896,1.0,0.02610899873257288,matched
17,XI13P24M,XIBECA 1/3 LATA PACK CARTON 24U. MP,2026-05-18,2026-05-18,2026-05-18 06:00:00,T,5000,4420,99.0,0000779824-1,2026-05-18,2138.0,7.06,0.321969696969697,0.3446969696969697,0.9340659340659341,1.0,0.022727272727272728,matched
17,FD13LTNN,FREE DAMM 33CL LATA LC,2026-05-18,2026-05-18,2026-05-18 16:00:00,N,10647,10647,,PRT9900017408-M,2026-05-19,239090.0,789.0,0.5309827873403664,0.5767906718489728,0.9205814401232191,1.0,0.04580788450860633,matched
17,FD13LTNN,FREE DAMM 33CL LATA LC,2026-05-19,2026-05-19,2026-05-19 01:52:00,M,6953,4005,,0000780318-1,2026-05-18,105927.0,349.56,0.5370088719898606,0.5631178707224335,0.9536349313526896,1.0,0.02610899873257288,matched
17,FDL13LN,FREE DAMM LIMON 1/3 LATA LC,2026-05-19,2026-05-19,2026-05-19 02:00:00,N,9100,9100,,0000796695-1,2026-05-19,222849.0,735.4,0.6162195796460177,0.6523783185840708,0.9445739720220432,1.0,0.036158738938053096,matched
17,FD13LTNN,FREE DAMM 33CL LATA LC,2026-05-19,2026-05-19,2026-05-19 01:52:00,M,6953,4005,,PRT9900017408-M,2026-05-19,239090.0,789.0,0.5309827873403664,0.5767906718489728,0.9205814401232191,1.0,0.04580788450860633,matched
17,DL13LT,DAMM LEMON 1/3 LATA LC,2026-05-19,2026-05-19,2026-05-19 08:00:00,T,21500,21500,,0000780315-1,2026-05-20,970001.0,3201.0,0.5548326207261443,0.575810441721125,0.9635681823825961,1.0,0.020977820994980766,matched
17,DL13LT,DAMM LEMON 1/3 LATA LC,2026-05-19,2026-05-19,2026-05-19 02:08:00,M,11967,11967,,0000780315-1,2026-05-20,970001.0,3201.0,0.5548326207261443,0.575810441721125,0.9635681823825961,1.0,0.020977820994980766,matched
17,DL13LT,DAMM LEMON 1/3 LATA LC,2026-05-19,2026-05-19,2026-05-19 16:00:00,N,5900,5900,,0000780315-1,2026-05-20,970001.0,3201.0,0.5548326207261443,0.575810441721125,0.9635681823825961,1.0,0.020977820994980766,matched
17,TU13LTN,TURIA 33CL LATA LC,2026-05-20,2026-05-20,2026-05-20 08:00:00,T,8412,8412,,0000789416-1,2026-05-20,445406.0,1469.84,0.5374358974358975,0.5777073906485671,0.9302908464309958,1.0,0.040271493212669686,matched
17,TUP13LT,TURIA STARK 1/3 LATA LC 24U.,2026-05-20,2026-05-20,2026-05-20 16:00:00,N,4000,3168,99.0,0000794764-1,2026-05-20,79783.0,263.28,0.3830272476293362,0.4280398511583243,0.8948401570386988,1.0,0.045012603528988115,matched
17,KE13LTNN,KELER 33 CL LATA LC,2026-05-20,2026-05-20,2026-05-20 06:00:00,N,2752,2752,,0000793854-1,2026-05-20,183134.0,604.34,0.46478426395939093,0.5071065989847716,0.9165415415415415,1.0,0.042322335025380714,matched
17,TU13LTN,TURIA 33CL LATA LC,2026-05-20,2026-05-20,2026-05-20 10:59:00,N,9588,9588,,0000789416-1,2026-05-20,445406.0,1469.84,0.5374358974358975,0.5777073906485671,0.9302908464309958,1.0,0.040271493212669686,matched
17,KE13PL12,KELER LATA 33CL. PACK C. 12U.,2026-05-20,2026-05-20,2026-05-20 02:00:00,M,0,7400,99.0,PRT9900017411-M,2026-05-20,92781.0,306.18,0.49473403546193834,0.5523263564858019,0.8957277335264301,1.0,0.05759232102386348,matched
17,KE13LTNN,KELER 33 CL LATA LC,2026-05-21,2026-05-21,2026-05-21 03:46:00,M,5148,4772,,0000793854-1,2026-05-20,183134.0,604.34,0.46478426395939093,0.5071065989847716,0.9165415415415415,1.0,0.042322335025380714,matched
17,LC13LTNN,ESTRELLA LEVANTE 1/3 LATA LC,2026-05-21,2026-05-21,2026-05-21 06:00:00,T,16087,15825,,0000793856-1,2026-05-21,540640.0,1784.11,0.5872688265486246,0.6466067403524971,0.9082318353632928,1.0,0.05933791380387258,matched
17,LC13LTNN,ESTRELLA LEVANTE 1/3 LATA LC,2026-05-21,2026-05-21,2026-05-21 04:00:00,M,6513,6513,,0000793856-1,2026-05-21,540640.0,1784.11,0.5872688265486246,0.6466067403524971,0.9082318353632928,1.0,0.05933791380387258,matched
17,SK13LN,SKOL 1/3 LATA LC,2026-05-21,2026-05-21,2026-05-21 16:00:00,N,21500,21500,,,,,,,,,,,only_plan
17,SK13LN,SKOL 1/3 LATA LC,2026-05-21,2026-05-21,2026-05-21 08:00:00,T,2833,2833,,,,,,,,,,,only_plan
17,SK13LN,SKOL 1/3 LATA LC,2026-05-22,2026-05-22,2026-05-22 00:00:00,M,20294,20294,,,,,,,,,,,only_plan
17,VO13LT,VOLL DAMM 1/3 LATA LC,2026-05-22,2026-05-22,2026-05-22 23:59:00,N,21500,21500,,,,,,,,,,,only_plan
17,VO13LT,VOLL DAMM 1/3 LATA LC,2026-05-22,2026-05-22,2026-05-22 08:00:00,T,20126,20126,,,,,,,,,,,only_plan
17,ED13LCN,ESTRELLA DAMM 33CL LATA CAT/CAS LC,2026-05-23,2026-05-23,2026-05-23 16:00:00,N,20425,20425,,,,,,,,,,,only_plan
17,ED13LCN,ESTRELLA DAMM 33CL LATA CAT/CAS LC,2026-05-23,2026-05-23,2026-05-23 08:00:00,T,3018,3018,,,,,,,,,,,only_plan
17,VO13LT,VOLL DAMM 1/3 LATA LC,2026-05-23,2026-05-23,2026-05-23 02:00:00,T,14827,14827,,,,,,,,,,,only_plan
17,VO13LT,VOLL DAMM 1/3 LATA LC,2026-05-23,2026-05-23,2026-05-23 00:00:00,M,20425,20425,,,,,,,,,,,only_plan
17,ED13LCN,ESTRELLA DAMM 33CL LATA CAT/CAS LC,2026-05-24,2026-05-24,2026-05-24 00:00:00,M,20425,20425,,,,,,,,,,,only_plan
17,ED13LCN,ESTRELLA DAMM 33CL LATA CAT/CAS LC,2026-05-24,2026-05-24,2026-05-24 16:00:00,N,20425,20425,,,,,,,,,,,only_plan
17,ED13LCN,ESTRELLA DAMM 33CL LATA CAT/CAS LC,2026-05-24,2026-05-24,2026-05-24 08:00:00,T,20425,20425,,,,,,,,,,,only_plan
17,VI13M12X,,,,,,,,,PRT9900017383-M,2026-05-18,619636.0,2044.8,0.41054479799903926,0.4569081181361912,0.89852813225058,1.0,0.04636332013715194,only_actual
19,XI13L12M,XIBECA 1/3 LATA PACK CARTON 12U. MP,2026-05-18,2026-05-18,2026-05-18 01:36:00,M,10000,10000,,0000793883-1,2026-05-18,124660.0,411.38,0.5746887966804979,0.6624020285846012,0.8675830868279102,1.0,0.08771323190410327,matched
19,EN12B24I,"ESTRELLA DAMM BCN 0,0 1/2 LATA B24U P.HT",2026-05-18,2026-05-18,2026-05-18 10:00:00,N,3000,2804,99.0,0000796497-1,2026-05-18,67664.0,338.32,0.35967741935483877,0.47603686635944703,0.755566311713456,1.0,0.11635944700460829,matched
19,EX12LBN,"ESTRELLA DAMM BCN 4,6 1/2 LATA BAND. LC",2026-05-18,2026-05-18,2026-05-18 16:00:00,N,9000,9000,,0000793877-1,2026-05-18,359255.0,1796.28,0.5779970021263987,0.7166312266880468,0.8065473295067613,1.0,0.13863422456164815,matched
19,EX12LB24,"ESTRELLA DAMM BCN 4,6 1/2 LATA B-24 P.HT",2026-05-18,2026-05-18,2026-05-18 08:00:00,T,3300,3300,,0000793876-1,2026-05-18,86608.0,433.04,0.31047071617212985,0.39855522759049244,0.7789904502046384,1.0,0.08808451141836258,matched
19,EX12LBN,"ESTRELLA DAMM BCN 4,6 1/2 LATA BAND. LC",2026-05-19,2026-05-19,2026-05-19 00:00:00,M,6000,5931,,0000793877-1,2026-05-18,359255.0,1796.28,0.5779970021263987,0.7166312266880468,0.8065473295067613,1.0,0.13863422456164815,matched
19,VO12LTN,VOLL DAMM 1/2 LATA CAJA 24U LC,2026-05-19,2026-05-19,2026-05-19 02:00:00,M,6700,6700,,0000793882-1,2026-05-19,321970.0,1609.85,0.6223041165877967,0.7504501863562125,0.8292410714285714,1.0,0.12814606976841575,matched
19,ED12LNF,ESTRELLA DAMM 50CL LATA LC PA08F,2026-05-19,2026-05-19,2026-05-19 10:00:00,T,3000,3000,,0000793873-1,2026-05-19,75169.0,375.85,0.5324635456638527,0.6371450498848811,0.8357022404239942,1.0,0.1046815042210284,matched
19,VO12LTN,VOLL DAMM 1/2 LATA CAJA 24U LC,2026-05-19,2026-05-19,2026-05-19 08:00:00,T,6300,6300,,0000793882-1,2026-05-19,321970.0,1609.85,0.6223041165877967,0.7504501863562125,0.8292410714285714,1.0,0.12814606976841575,matched
19,ED12LN,ESTRELLA DAMM 50CL LATA LC,2026-05-19,2026-05-19,2026-05-19 16:00:00,N,15000,15000,,0000793872-1,2026-05-20,1436487.0,7182.44,0.7315670999492419,0.8506388895019089,0.860020754961733,1.0,0.119071789552667,matched
19,ED12LN,ESTRELLA DAMM 50CL LATA LC,2026-05-20,2026-05-20,2026-05-20 16:00:00,N,13400,13400,,0000793872-1,2026-05-20,1436487.0,7182.44,0.7315670999492419,0.8506388895019089,0.860020754961733,1.0,0.119071789552667,matched
19,ED12LN,ESTRELLA DAMM 50CL LATA LC,2026-05-20,2026-05-20,2026-05-20 08:00:00,T,15000,15000,,0000793872-1,2026-05-20,1436487.0,7182.44,0.7315670999492419,0.8506388895019089,0.860020754961733,1.0,0.119071789552667,matched
19,ED12LN,ESTRELLA DAMM 50CL LATA LC,2026-05-20,2026-05-20,2026-05-20 00:00:00,M,15000,15000,,0000793872-1,2026-05-20,1436487.0,7182.44,0.7315670999492419,0.8506388895019089,0.860020754961733,1.0,0.119071789552667,matched
19,VI12LTW,VICTORIA 1/2 LATA CAJA 24U. LC,2026-05-21,2026-05-21,2026-05-21 08:00:00,T,3000,3000,,0000796501-1,2026-05-20,84315.0,421.58,0.5548267503208327,0.6473691715385712,0.8570484581497797,1.0,0.09254242121773848,matched
19,DL12LT,DAMM LEMON 50CL LT LC6 F24,2026-05-21,2026-05-21,2026-05-21 02:00:00,M,3300,3300,,0000793871-1,2026-05-20,86752.0,433.76,0.32024,0.39096,0.8191119296091672,1.0,0.07072,matched
19,LC12LTW,ESTRELLA LEVANTE 1/2 LATA LC,2026-05-21,2026-05-21,2026-05-21 04:00:00,M,6600,6463,,0000793880-1,2026-05-20,156267.0,781.34,0.4003330557868443,0.4907577019150708,0.8157448252460129,1.0,0.09042464612822648,matched
19,ID12LBN,INEDIT DAMM LATA 50CL. BANDEJA 24U. 15M,2026-05-21,2026-05-21,2026-05-21 14:00:00,T,1500,1500,,0000796500-1,2026-05-21,37000.0,185.0,0.09738703788224555,0.1393769968051118,0.6987310683585756,1.0,0.04198995892286627,matched
19,VI12LTX,VICTORIA 1/2 LATA CAJA 24U. LC PR.SELEC.,2026-05-21,2026-05-21,2026-05-21 08:00:00,T,7500,7308,,PRT9900017413-M,2026-05-21,176716.0,883.58,0.49547415102363157,0.7349492740416742,0.6741610183501405,1.0,0.23947512301804263,matched
19,EN1324BI,"ESTRELLA DAMM BCN 0,0 1/3 LATA B24U FIN.",2026-05-21,2026-05-21,2026-05-21 16:00:00,N,6000,6000,,,,,,,,,,,only_plan
19,EX1324NB,"ESTRELLA DAMM BCN 4,6 1/3 LATA BANDEJA24",2026-05-21,2026-05-21,2026-05-21 16:00:00,N,1500,1500,,,,,,,,,,,only_plan
19,ENB13LBF,"ESTRELLA DAMM BCN 0,0 33CLLATA B24 FCBHT",2026-05-22,2026-05-22,2026-05-22 02:00:00,M,5000,5000,,,,,,,,,,,only_plan
19,3BNMSL20,"BEER MARK SPENCER 4,5º 33CL L P12P UK X",2026-05-22,2026-05-22,2026-05-22 08:00:00,T,134000,134000,,,,,,,,,,,only_plan
19,3BNZFLB1,"BEER LA FRIA 4,5º 33CL L B24SH P X",2026-05-22,2026-05-22,2026-05-22 08:00:00,T,345720,345720,,,,,,,,,,,only_plan
19,3BNZFLB1,"BEER LA FRIA 4,5º 33CL L B24SH P X",2026-05-22,2026-05-22,2026-05-22 23:59:00,N,516000,516000,,,,,,,,,,,only_plan
19,EX1324NB,"ESTRELLA DAMM BCN 4,6 1/3 LATA BANDEJA24",2026-05-22,2026-05-22,2026-05-22 00:00:00,M,13500,13500,,,,,,,,,,,only_plan
19,3BNZFLB1,"BEER LA FRIA 4,5º 33CL L B24SH P X",2026-05-23,2026-05-23,2026-05-23 00:00:00,M,490200,490200,,,,,,,,,,,only_plan
19,3BNZFLB1,"BEER LA FRIA 4,5º 33CL L B24SH P X",2026-05-23,2026-05-23,2026-05-23 08:00:00,T,490200,490200,,,,,,,,,,,only_plan
19,3BNZFLB1,"BEER LA FRIA 4,5º 33CL L B24SH P X",2026-05-23,2026-05-23,2026-05-23 16:00:00,N,490200,490200,,,,,,,,,,,only_plan
19,3BNZFLB1,"BEER LA FRIA 4,5º 33CL L B24SH P X",2026-05-24,2026-05-24,2026-05-24 00:00:00,M,490200,490200,,,,,,,,,,,only_plan
19,3BNZFLB1,"BEER LA FRIA 4,5º 33CL L B24SH P X",2026-05-24,2026-05-24,2026-05-24 08:00:00,T,474720,474720,,,,,,,,,,,only_plan
19,ED13LTNN,ESTRELLA DAMM 1/3 LATA LC,2026-05-24,2026-05-24,2026-05-24 16:00:00,N,19350,19350,,,,,,,,,,,only_plan
19,VI13P12X,,,,,,,,,0000789442-1,2026-05-18,792956.0,2616.75,0.8126777524404929,0.8727612800737913,0.9311569738425858,1.0,0.060083527633298314,only_actual
,,,,,,,,,,Total,,10177404.0,38495.4,0.5579958004351585,0.6519016807760644,0.8559508540780039,1.0,0.09390588034090586,only_actual
,,,,,,,,,,,,,,,,,,,only_actual
,,,,,,,,,,"Filtros aplicados: 
CBR es LATA
FACTORY es 0099-PRAT
Date el o después del 18/05/2026 y antes del 23/05/2026
TREN es 17, 19 o 14",,,,,,,,,only_actual
